gnd,werk,von,nach
116344407,Sonette der Vittoria Colonna mit deutscher Übersetzg. 2 Bde. 1858.,,
1029760942,"Aus Kingsleys Schriften. Übersetzg. 8. (280) Göttingen 1897, Vandenhoeck & Ruprecht. Brosch. 3.60, eleg. geb. 4.60",,
1029760942,"Der Zeitgeist von L. Dougall. Autoris. Übersetzg. nach der 4. Aufl. des engl. Originals. 8. (157) Ebda. 1896. n 2., geb. n 2.60",Englisch,Deutsch
1029760942,"Römer u. Germanen. Vorträge. Nach der 9. Aufl. Übersetztg. 8. (296) Ebda. 1895. 4., in Geschenkbd. 5.",,
1029760942,"Tägliche Gedanken. Übersetzg. Aus den Schriften Kingsleys, gew. v. s. Frau. 8. (287) Ebda. 1893. 3.60, geb. 4.50, m. Goldschn. 4.80",,
1029760942,Vom Tode zum Leben. Übersetzg. Gedanken über das Leben nach dem Tode. 8. (150) Ebda. 1891. 3.,,
1029760942,"Vor zwei Iahren. Übersetzg. Rom. 2 Bde. 8. (911) Gotha 1891. F. A. Perthes. 10., geb. 12.",,
1029760942,"Wahre Worte für tapfere Männer. Ein Buch für Soldaten u. Seeleute. Übersetzg. 12. (159) Berlin 1892, Liebel. 1.40, Einbd. in Pappe 1.20, eleg. geb. 2.",,
118623249,"Worin besteht mein Glaube? Eine Studie. Aus dem russ. Manuskript d. Graf Leo Tolstoy, übers. v. S. B. 8. (294) Ebda. 1885. 6.",Russisch,Deutsch
1036250822,"Der König der Schnorrer. Von I. Zangwill. Übersetzg. 8. (193) Berlin 1897, S. Cronbach. 2.; geb. 2.50",,
1036250822,Kinder des Ghetto. Von I. Zangwill. Übersetzg. 2 Bde. 8. (736) Ebda. 1897. 7.50; geb. 10.,,
116385995,"Hector Berlioz. Erinnerungen von Ernst Legouvé. Übers. Leipzig 1897, Breitkopf & Härtel.",,
1102900117,"Zeichensprache der Indianer. Übers. aus dem Engl. nach G. Mallers. 4. (88) Sonderabdruck ans den »Mitteilgn. d. Ver. f. Erdkunde«, Halle a. S. 1882. ‒ 1001 Nacht. Eine Auswahl der schönsten morgenländ. Märchen. Mit 6 farb. Vollbildern u. vielen Text-Illstr. 4 (123) Ebda. 1896. geb. 3.",Englisch,Deutsch
11867353X,"Clifford, Wahrhaftigkeit. Übers. Berlin 1893, Ferd. Dümmler.",,
1028198051,Englisches Übungsbuch. Materialien z. Übersetzen a. d. Deutschen in das Englische u. method. Anleitg. z. Anfertigg. v. engl. Aufsätzen f. d. Oberklassen höherer Lehranstalten. 8. (164) Ebda. 1897. n 2.; geb. n 2.50,Deutsch,Englisch
118638904,Islandfischer. Von P. Loti. Übers. v. S. C. 4. Aufl. 8. (333) Ebda. 1895. n 5.; geb. in Leinw. n 6.,,
117081124,"Lerchenlied überm Ackerfelde. Für den Familienkreis der Herausgeberin bestimmt. 8. (160) Verlag der Verfasserin. ‒ Übersetzgn. aus den skandinavischen Sprachen. 4 Hefte. 8. (etwa 140) Hirschberg 1895, August Kruhl. à 1.",,Deutsch
1226177204,"Anderer Leute Kinder, aus dem Engl. des I. Habberton übersetzt. 8. (243) Halle 1891, O. Hendel, n .75; auf besserem Papier in Prachtbd. m. G. n 1.50; Mit Helenens Kinderchen in 1 Bd. geb. n 2.50",Englisch,Deutsch
1226177204,Charakter. Aus d. Engl. des S. Smiles übers. 8. (334) Ebda. 1894. n 1.; in Prachtbd. n 2.50,,
1226177204,Childe Harolds Pilgerfahrt. Epos. A. d. Engl. des Lord Byron übers. 8. (192) Ebda. 1892. n .75; geb. 1.,Englisch,Deutsch
1226177204,Die Bartoner Temperenzbewegung. Aus dem Engl. des I. Habberton übers. 8. (130) Ebda. 1892. n .50,Englisch,Deutsch
1226177204,Die Iungfrau vom See. Dichtg. A. d. Engl. des W. Scott übers 8. (135) Ebda. 1894. n .50; in Prachtbd. m. G. n 1.75,Englisch,Deutsch
1226177204,"Fortschritt u. Armut. Das Mittel dagegen, a. d. Engl. des Richard George übers. 8. (504) Ebda. 1892. n 175; geb. 2.",Englisch,Deutsch
1226177204,"Islandfahrer. Rom. A. d. Franz. des Pierre Loti übers. 8. (III, 173 m. Bildnis) Ebda. 1897. n 50; geb. .75; in Geschenkbd. bar n 2.",Französisch,Deutsch
1226177204,Liebesbriefe eines Geigers. A. d. Engl. des Eric Mackay übers. 8. (88) Ebda. 1895. n .50; in Orig. Bd. m. G. n 1.50,Englisch,Deutsch
1226177204,"Pflicht, erläut. durch Beispiele des Mutes, d. Geduld u. Ausdauer. Aus d. Engl. d. S. Smiles übers. 8. (392) Ebda. 1894. n 125; in Prachtbd. n 2.50",Englisch,Deutsch
1226177204,Selbsthilfe. Aus d. Engl. d. S. Smiles übers. 8. (388) Ebda. n 1.25; in Prachtb. n 2.50,Englisch,Deutsch
1226177204,Sparsamkeit. Aus d. Engl. d. S. Smiles übers. 8. (359) Ebda. 1895. n 1.25; in Orig.-Bd. n 2.50,Englisch,Deutsch
116159790,"Hellas Geographie, Mythologie, Geschichte u. Kulturgeschichte von Alt-Griechenland. (456 m. H.) Frankfurt 1876, Diesterweg. Ist auch ins Engl. übers. n 3.80",Deutsch,Englisch
11617093X,"Esther. (Red as a rose is she.) Rom. Von Miss Rhoda Broughton. Aus dem Engl. übers. 3 Bde. 8. (645) Leipzig 1875, E. I. Günther. n 7.50",Englisch,Deutsch
11617093X,"Wie eine Blume erblüht. (Cometh up as a flower.) Rom. Von Rhoda Broughton. Aus dem Engl. übers. 3 Bde. 8. (565) Leipzig 1877, Berlin, Nicolais Sort. n 6.",Englisch,Deutsch
117035017,Kraft u. Gesundheit. Übers.,,
102165874,Liebe und Gymnastik. Übers. d. De Amici's Fra scuola e casa. Engelhorns Allgemeine Romanbibliothek. (Ebda. 1897.) .50,Italienisch,Deutsch
119009331,"Reise zu den Aussätzigen in Sibirien. Übersetzg. der Kate Marsden. 3. Aufl. 8. (158 m. Abbildgn. u. Bildnissen) Leipzig 1895, W. Friedrich. 6.; geb. 8.",,
1262495377,"Leichtfasslicher Unterricht im Kleidermachen. Bearb. f. Schulen u. zum Selbstunterricht. 74 in den Text gedr. Schnittübersichten. 4. (75) Leipzig 1893, Hoffmann & Ohnstein. kart. n 3.50",,
12741973X,"Die Nihilistin. Rom. von Sonja Kowalewska. Aus dem Russischen übers. 12. (VI, 142) Wien 1896, Wiener Mode, Verlags-A.-G. n 1.50",Russisch,Deutsch
12741973X,"Iugenderinnerungen. (Von Sonja Kowalewska.) Aus dem Russischen übers. 8. (VIII, 205) Berlin 1897, S. Fischer. n 3.",Russisch,Deutsch
1036590674,"Erckmann-Chatrians »Waterloo«. Übers. (Meyers Volksbücher). 8. (256) Leipzig 1894, Bibliographisches Institut. .40",,
119369672,"Religio viatoris. Die vier Grundsteine meines Glaubens. Von H. E. Manning. Übers. v. E. G. 8. (68) Würzburg 1889, Woerl. .75",,
116511869,A. Brizeux' Gedichte. Übers. 1874.,,
116511869,Michel-Angelos Gedichte. Übers. 1875.,,
1049486617,"Der schöne Sepp. Eine Selbstbiographie Miss Marchall Saunders. Übersetzg. aus dem Engl. 8. (340 m. Abbildgn. u. Bildnis) Hamburg 1895, I. G. Oncken Nachfolger. 2.; geb. 3.",Englisch,Deutsch
119543559,"An des Reiches Pforten. Von Knut Hamsun. Übersetzg. München 1895, A. Langens Verlag. 3.",,
119543559,"Bei Mama. Von Arne Garborg. Übersetzg. 8. (389) Berlin 1891, S. Fischers Verlag. n 3.50; geb. n 4.50",,
119543559,"Der Lotse und sein Weib. Von Lie. Übersetzg. 8. (164) Stuttgart 1889, I. Engelhorn. .50; geb. .75",,
119543559,"Die Frau Gouverneurin von Paris. Von Math. Malling. Übersetzg. Kopenhagen 1896, A. F Host & Sön. 5.",,
119543559,"Drauf los! Von Ionas Lie. Übersetzg. Stuttgart 1893, Deutsche Verlagsanstalt.",,
119543559,"Frieden. Rom. von Arne Garborg. Übersetzg. 8. (328) Berlin 1893, S. Fischers Verlag. 3.50; geb. 4.50",,
119543559,Grossvater. Von Ionas Lie. Übersetzg. 1895. Richard Taendlers Verlag.,,
119543559,"Kapitän Mansana. Von Björnson. Übersetzg. 8. (73) Halle 1888, Hendel. .25",,
119543559,"Müde Seelen. Von Arne Garborg. Übersetzg. 8. (336) Berlin 1893, Fischer. n 3.50; geb. n 4.50",,
119543559,"Novellen, Von I. P. Iacobsen. Übersetzg. 8. (125) Ebda. 1890. n 1.50",,
119543559,"Parias. Von Ola Hansson. Übersetzg. 8. (155) Berlin 1890, Zoberbier. n 2.50",,
1095668676,"Mit Feuer und Schwert. Rom. in 4 Bdn. Aus dem Polnischen des H. Sienkiewicz übersetzt. 3. Ausg. in 2 Bdn. 8. (861) Berlin 1891 Rumbauer, n 3.; geb. n 4.",Polnisch,Deutsch
116936045,Dantes göttliche Komödie. Übers. 3 Bde. 1865.,,
116936045,"Kronen aus Italiens Dichterwalde. Übers. u. eigene Dichtgn. 16. (201) Halle 1869, Barthel. n 3.; geb. n 4.",,
137156499,"Die Beerdigung u. Verbrennung der Leichen von Besi. (Übersetzg. a. d. Ital.) Regensburg 1889, Manz.",Italienisch,Deutsch
140849203,"Antonio Allegri da Correggio. Sein Leben u. seine Werke von Corrado Ricci. Übers. aus dem Ital. 4. (420 m. Illustr.) Berlin 1897, Cosmos, Verlag für Kunst u. Wissenschaft, Prachtband 45.",Italienisch,Deutsch
140849203,Neun Monate Gefangenschaft bei Menelik. Erinnerungen eines Kriegsgefangenen in Schoa (März 1896Ianuar 1897). Übersetzg. aus dem Italien. 8. (217) Mit 3 Porträts. 3.50,Italienisch,Deutsch
140849203,"Schicksal (Fatalità). Gedichte von Ada Negri. Übersetzg. 4. Aufl. 8. (127) Berlin 1896, Alexander Duncker. geb. m. Goldschn. n 4.",,
140849203,Stürme (Tempeste). Gedichte von Ada Negri. Übersetzg. 2. Aufl. 8. (134) Ebda. n 3.; geb. m. Goldschn. n 4.,,
1299964478,"Geneviève. Übers. d. Madame de Pressensé. 8. (820) Reutlingen 1887, Fleischhauer & Spohn. br. 8.; geb. 4.",,
116229071,"Adam Homo. Übers, aus dem Dänischen des Paludan-Müller.",Dänisch,Deutsch
116229071,"Das Fest auf Solhaug. Schausp. in 3 Aufzügen von Ibsen. Übers. aus dem Norwegischen. 16. (61) Leipzig 1888, Ph Reclam jr. n .20",Norwegisch,Deutsch
116229071,Nordische Heerfahrt. Schausp. Übers. des Henrik Ibsen. 16. (69) Ebda. 1890. n .20,,
116229071,Peter Plus. Dramat. Dichtung. Übers. des Einar Christiansen. 16. (112) Ebda. 1892. n .20,,
104234075,"Erinnerungen an Berryer. Von Mme la Vicomtesse A de Ianzé, geb. de Choiseul-Gouffier. Übersetzg. aus dem Franz. v. K. 8. (227) Dresden 1885, v. Grumbkow. 3.",Französisch,Deutsch
11856661X,"Rumänische Dichtungen (mit Carmen Sylva) übers. 8. (340) 3. Aufl. Bonn 1890, Strauss. n 6.; geb. n 7.",Rumänisch,Deutsch
11856661X,"Rumänische Märchen, übers. 8. (296) Leipzig 1882, Friedrich, n 5.; geb. nn 6.",Rumänisch,Deutsch
11856661X,Rumänische Skizzen. Übers. 1877.,Rumänisch,Deutsch
126739684,"Frau Strahle von Ann' Margret Holmgren. Autorisierte Übers, v. M. K. Ebda. 1897. 1.50; geb. 2.50",,
116633174,"Gedichte von Iaroslav Vrchlický. Autor. Übersetzg. aus dem Böhmischen. Leipzig 1893, Dr. H. Roskoschny. n 1.60",,
1157525385,"Die Frau vor der Wissenschaft. Autoris. Übers. d. Iacques Lourbet. München 1897, Aug. Schupp.",,
1157525385,"Dissonanzen von George Egerton. Einzige autoris. Übers. v. D. L. 8. (333) Berlin 1891, S. Fischers Verlag. n 3.50; geb. bar n 4.50",,
1157525385,"Maggie das Strassenkind. Von Stephen Crane, autoris. Übers. von D. L. Leipzig, G. Wigand. 1.50; geb. 2.50",,
116756799,"Crispi bei Bismarck. Aus dem Reisetagebuch eines Vertrauten des italienischen Ministerpräsidenten. Übersetzg. 8. (238) Stuttgart 1894, Deutsche Verlags-Anstalt. 3.; geb. nn 4.",,
116756799,"Der Dreispitz. Übersetzg. aus d. Spanischen des P. Alarcon. 4. (32) (1876) 1880, Stuttgart, Kröner. n .50",Spanisch,Deutsch
116756799,Der Köhlerschulz. Übersetzg. aus d. Spanischen des P. Alarcon. 4. (28) (1876) Ebda. 1880. n .50,Spanisch,Deutsch
116756799,"Der Unerbittliche, Mariana, Mathilde od.: Flecken, der reinigt. Übersetzg. a. d. Spanischen des I. Echegaray.",Spanisch,Deutsch
116756799,Die Illusionen des Dr. Faustino. Übersetzg. aus dem Spanischen des I. Valera.,Spanisch,Deutsch
116756799,"Ein guter Fischzug. Übersetzg. aus dem Spanischen des P. Alarcon. 4. (24) (1876) 1880, Stuttgart, Kröner. n .50",Spanisch,Deutsch
116756799,Man soll nichts verschwören. Übersetzg. des Alfr. de Musset.,,
117625884,"Isländische Volkssagen aus der Sammlg. v. I. Árnason ausgewählt u.a. d. Isländ. übersetzt. Neue Folge. 8. (296) Berlin 1891, Mayer & Müller. 4.; geb. 5. 1. u. 2. Bd. aus. 7.60",Isländisch,Deutsch
12628430X,"Die Cliffords. Eine Erzählg. a. d. vor. Iahrh., von Mrs. Alfred Montgomery. Übers, v. O. v. L. 8. (408) Köln 1871, I. P. Bachem. 3.50",,
12628430X,"Unglaublich u. doch wahr. Histor. Rom. von Georgiana Fullerton. Genehmigte Übers, von O. von L. 6. Aufl. 8. (492) Köln 1895, I. P. Bachem. 4.; geb. n 5.50",,
1019259892,"Unter Ausonias Himmel. Lieder, metrisch ins Italien, übers. m. deutschem Originaltext. 8. (161) Rom, Wien 1894, Gerold & Co. n 2.",Deutsch,Italienisch
117073989,"Hand u. Handschuh. Rom. v. Amelia B. Edwards. Aus d. Engl. übers, v. H. L. 2 Bde. 8. (519) Leipzig 1867, Schlicke. 7.50",Englisch,Deutsch
121571181,"Dolores von Campoamar. Übers, a. d. Spanischen.",,
116942738,"Im Irrenhause. Amalie Skram. Übersetzg. Wohlfeile Ausg. 8. (293) München 1895, A Langen. 1.",,
116942738,"Professor Hieronymus. Rom. Autor. Übersetzg. aus d. Norwegisch, d. Amalie Skram. 8. (293) Paris u. Leipzig 1895, A. Langen. 3.",,
116942738,"Thorwaldsens Darstellung des Menschen. Ein kunstgeschichtl. Umriss. Übersetzt von Math. Mann. (144 m. 8 Vollbildern u. 16 Textillustr.) Berlin 1894, Siemens. 5.",,
116769513,"Ruth u. ihre Freundinnen. Aus d. Engl. der Miss. Yonge übers. 16. (292 m. Illustr.) Leipzig 1865, G. Wigand. 2.",,
116789921,Dramen von Molière. Übersetzgn.,,
117548022,"Unsere Ellen. Rom. Aus dem Amerikan. Übers. von A. S. 2 Bde. 8. (537) Breslau 1883, Schottländer. n 6.; geb. n 8.",,
12750446X,"Ausgewählte Legenden u. Gedichte. Von Gustav A. Becquer. Aus dem Spanischen übers. Leipzig 1880, W. Friedrich. 3.; geb. 4.",,
116737352,"Indiana. Von G. Sand. Übersetzg. 8. (260) Stuttgart 1883, Spemann geb. n 1.",,
116737352,"Indien. Von P. Mantegazza. Übersetzg. 8. (368) Iena 1885, Costenoble. n 8.",,
